Id,fecha_venta,tipo_venta,empleado,categoria,total,es_entregado
1,2023-09-20,WhatsApp,Luis,deportes,111.55,1
2,2023-07-02,WhatsApp,Carlos,muebles,112.13,1
3,2023-02-26,WhatsApp,Luis,tecnológico,0.0,0
4,2023-02-10,WhatsApp,Luis,hogar,,1
5,2023-12-23,web,Juan,tecnológico,38.0,1
6,2023-04-06,web,María,tecnológico,117.87,1
7,2023-09-12,WhatsApp,Sofía,hogar,113.26,1
8,2023-11-21,WhatsApp,Carlos,ropa,124.25,1
9,2023-12-18,web,,tecnológico,233.08,1
10,2023-10-21,web,Sofía,ropa,199.14,1
11,2023-06-17,WhatsApp,Juan,ropa,132.63,1
12,2023-04-04,WhatsApp,Carlos,tecnológico,23.82,1
13,2023-04-10,WhatsApp,Juan,ropa,71.31,1
14,2023-03-16,web,Ana,ropa,447.61,1
15,2023-03-07,web,Juan,ropa,48.69,1
16,2023-05-24,web,Sofía,hogar,73.41,1
17,2023-03-01,WhatsApp,Juan,tecnológico,,1
18,2023-07-03,WhatsApp,Luis,ropa,111.03,1
19,2023-08-24,WhatsApp,Carlos,tecnológico,0.0,0
20,2023-08-01,web,María,deportes,104.48,1
21,2023-01-21,web,Juan,deportes,168.93,1
22,2023-08-23,WhatsApp,María,hogar,210.01,1
23,2023-08-09,WhatsApp,María,muebles,28.78,1
24,2023-11-10,WhatsApp,,hogar,0.0,0
25,2023-09-29,web,Sofía,deportes,2093.82,1
26,2023-05-09,web,Juan,deportes,0.0,0
27,2023-04-25,web,Luis,ropa,30.64,1
28,2023-05-30,WhatsApp,Sofía,deportes,119.55,1
29,2023-04-04,web,Juan,hogar,0.0,0
30,2023-12-03,WhatsApp,,tecnológico,278.76,1
31,2023-08-03,WhatsApp,Sofía,ropa,117.44,1
32,2023-08-04,web,Carlos,muebles,15.95,1
33,2023-03-30,WhatsApp,Carlos,hogar,26.17,1
34,2023-06-26,web,,deportes,302.89,1
35,2023-04-07,web,Sofía,ropa,68.43,1
36,2023-07-26,WhatsApp,Carlos,tecnológico,66.05,1
37,2023-10-29,WhatsApp,Luis,hogar,87.73,1
38,2023-06-30,WhatsApp,Juan,ropa,12.37,1
39,2023-08-22,web,Luis,muebles,880.91,1
40,2023-02-16,WhatsApp,Luis,hogar,0.0,0
41,2023-09-01,web,María,hogar,70.77,1
42,2023-06-18,WhatsApp,Ana,hogar,0.0,0
43,2023-03-24,WhatsApp,María,ropa,190.11,1
44,2023-03-05,web,Carlos,hogar,1295.95,1
45,2023-03-27,WhatsApp,Sofía,deportes,11.71,1
46,2023-04-11,WhatsApp,Ana,ropa,19.61,1
47,2023-10-05,WhatsApp,María,ropa,15.38,1
48,2023-10-10,web,Ana,deportes,23.11,1
49,2023-02-21,WhatsApp,María,hogar,138.88,1
50,2023-01-18,web,Sofía,ropa,113.39,1
51,2023-07-16,web,María,hogar,65.91,1
52,2023-09-22,web,Luis,muebles,128.62,1
53,2023-08-23,web,Carlos,deportes,,1
54,2023-03-07,WhatsApp,Ana,ropa,398.21,1
55,2023-05-29,web,Sofía,muebles,668.96,1
56,2023-04-21,web,Luis,ropa,149.75,1
57,2023-10-14,web,Carlos,deportes,1596.68,1
58,2023-11-04,WhatsApp,Ana,deportes,51.17,1
59,2023-08-16,WhatsApp,Carlos,tecnológico,0.0,0
60,2023-12-30,WhatsApp,Ana,muebles,61.73,1
61,2023-08-10,web,María,tecnológico,240.31,1
62,2023-06-28,WhatsApp,María,tecnológico,92.45,1
63,2023-10-18,web,Sofía,muebles,0.0,0
64,2023-09-25,web,Carlos,tecnológico,,1
65,2023-09-10,web,María,muebles,0.0,0
66,2023-08-04,web,,muebles,77.22,1
67,2023-05-08,WhatsApp,Sofía,muebles,307.53,1
68,2023-09-20,WhatsApp,María,muebles,30.53,1
69,2023-10-28,web,Juan,hogar,0.0,0
70,2023-08-15,web,Luis,hogar,46.46,1
71,2023-12-23,web,Ana,ropa,107.06,1
72,2023-06-10,WhatsApp,Sofía,deportes,52.09,1
73,2023-04-26,web,Carlos,ropa,124.11,1
74,2023-06-04,WhatsApp,Carlos,muebles,12.15,1
75,2023-04-07,web,Ana,tecnológico,0.0,0
76,2023-12-09,web,Ana,muebles,18.98,1
77,2023-01-25,web,Sofía,tecnológico,112.82,1
78,2023-04-22,WhatsApp,Ana,tecnológico,46.02,1
79,2023-09-25,WhatsApp,Ana,deportes,837.75,1
80,2023-06-11,web,,ropa,621.71,1
81,2023-07-05,WhatsApp,Juan,ropa,0.0,0
82,2023-06-23,WhatsApp,Juan,deportes,54.64,1
83,2023-09-21,WhatsApp,Juan,muebles,247.15,1
84,2023-11-19,web,Ana,ropa,130.21,1
85,2023-07-24,WhatsApp,,tecnológico,0.0,0
86,2023-08-04,web,Ana,tecnológico,59.6,1
87,2023-12-11,WhatsApp,Luis,tecnológico,0.0,0
88,2023-02-26,WhatsApp,Sofía,ropa,133.65,1
89,2023-03-03,WhatsApp,María,muebles,136.7,1
90,2023-04-04,web,Sofía,muebles,,1
91,2023-02-07,web,Sofía,tecnológico,0.0,0
92,2023-08-22,WhatsApp,María,muebles,86.45,1
93,2023-11-27,WhatsApp,Carlos,hogar,45.78,1
94,2023-11-19,WhatsApp,Luis,deportes,149.4,1
95,2023-07-18,web,Luis,deportes,0.0,0
96,2023-10-13,web,María,muebles,121.48,1
97,2023-06-22,web,Juan,hogar,97.59,1
98,2023-07-21,web,María,muebles,48.86,1
99,2023-10-10,web,Carlos,tecnológico,110.73,1
100,2023-04-22,web,Ana,muebles,,1
101,2023-04-28,web,,tecnológico,28.55,1
102,2023-06-06,web,Juan,muebles,0.0,0
103,2023-01-01,web,Juan,muebles,1406.5,1
104,2023-10-26,WhatsApp,Carlos,ropa,16.64,1
105,2023-02-19,WhatsApp,Carlos,deportes,,1
106,2023-10-25,web,Juan,deportes,0.0,0
107,2023-02-13,web,,hogar,0.0,0
108,2023-06-24,WhatsApp,Carlos,muebles,1822.46,1
109,2023-03-27,WhatsApp,Ana,deportes,0.0,0
110,2023-05-20,WhatsApp,Juan,ropa,26.12,1
111,2023-10-31,WhatsApp,Ana,muebles,19.74,1
112,2023-05-04,WhatsApp,Ana,tecnológico,180.45,1
113,2023-10-14,WhatsApp,Ana,deportes,70.13,1
114,2023-05-12,web,Ana,deportes,77.24,1
115,2023-06-29,WhatsApp,Carlos,deportes,0.0,0
116,2023-05-02,web,Ana,hogar,36.75,1
117,2023-10-01,WhatsApp,Ana,hogar,,1
118,2023-11-11,WhatsApp,Sofía,hogar,503.1,1
119,2023-12-04,WhatsApp,Luis,muebles,0.0,0
120,2023-12-27,web,María,hogar,384.4,1
121,2023-02-27,web,Sofía,ropa,0.0,0
122,2023-09-19,WhatsApp,María,muebles,98.41,1
123,2023-05-29,web,Ana,deportes,10.73,1
124,2023-11-21,WhatsApp,Juan,tecnológico,273.07,1
125,2023-05-13,WhatsApp,Luis,hogar,0.0,0
126,2023-07-02,web,Carlos,ropa,,1
127,2023-10-02,WhatsApp,María,muebles,0.0,0
128,2023-12-02,WhatsApp,Carlos,deportes,33.99,1
129,2023-11-24,web,Carlos,tecnológico,86.32,1
130,2023-06-16,web,Sofía,ropa,12.31,1
131,2023-11-27,web,Sofía,hogar,0.0,0
132,2023-11-05,web,Sofía,deportes,33.25,1
133,2023-11-01,WhatsApp,María,muebles,74.57,1
134,2023-08-06,WhatsApp,Juan,deportes,0.0,0
135,2023-06-18,WhatsApp,María,hogar,37.27,1
136,2023-10-06,web,María,deportes,100.96,1
137,2023-01-20,web,Carlos,hogar,0.0,0
138,2023-06-17,WhatsApp,Juan,tecnológico,116.2,1
139,2023-10-03,WhatsApp,Luis,muebles,89.28,1
140,2023-11-06,WhatsApp,Ana,tecnológico,88.75,1
141,2023-04-10,web,Juan,tecnológico,83.84,1
142,2023-03-19,WhatsApp,Juan,deportes,,1
143,2023-01-10,WhatsApp,Juan,tecnológico,683.93,1
144,2023-08-22,web,Ana,tecnológico,89.79,1
145,2023-07-06,web,,ropa,0.0,0
146,2023-10-25,web,Ana,deportes,674.85,1
147,2023-06-04,web,Luis,ropa,345.77,1
148,2023-11-07,web,María,muebles,133.81,1
149,2023-10-29,WhatsApp,Ana,tecnológico,84.14,1
150,2023-11-01,WhatsApp,Sofía,muebles,0.0,0
151,2023-05-19,web,Luis,ropa,87.71,1
152,2023-06-24,WhatsApp,,hogar,619.3,1
153,2023-10-26,web,María,deportes,21.69,1
154,2023-10-08,WhatsApp,Carlos,ropa,121.49,1
155,2023-01-27,web,Sofía,muebles,107.56,1
156,2023-06-07,web,Juan,tecnológico,55.51,1
157,2023-02-12,WhatsApp,Ana,hogar,134.61,1
158,2023-01-11,web,,tecnológico,747.18,1
159,2023-12-03,WhatsApp,Ana,deportes,130.52,1
160,2023-06-30,web,Luis,muebles,52.31,1
161,2023-11-05,web,Ana,ropa,102.41,1
162,2023-03-05,WhatsApp,Ana,ropa,20.8,1
163,2023-10-23,WhatsApp,Carlos,ropa,0.0,0
164,2023-09-26,WhatsApp,Juan,hogar,311.8,1
165,2023-11-26,web,Carlos,muebles,0.0,0
166,2023-03-18,WhatsApp,Juan,deportes,697.16,1
167,2023-11-15,WhatsApp,Sofía,muebles,247.07,1
168,2023-10-08,web,Juan,deportes,0.0,0
169,2023-07-10,WhatsApp,,muebles,98.47,1
170,2023-07-29,web,Ana,deportes,485.0,1
171,2023-07-03,WhatsApp,María,ropa,130.5,1
172,2023-11-12,web,Ana,muebles,41.6,1
173,2023-03-01,WhatsApp,Sofía,deportes,57.99,1
174,2023-03-09,web,Luis,muebles,83.58,1
175,2023-05-23,WhatsApp,Sofía,ropa,0.0,0
176,2023-06-22,web,Sofía,tecnológico,0.0,0
177,2023-02-09,WhatsApp,Carlos,deportes,38.2,1
178,2023-05-26,web,Juan,deportes,43.67,1
179,2023-11-18,web,María,ropa,,1
180,2023-05-19,WhatsApp,,deportes,122.43,1
181,2023-12-06,WhatsApp,Sofía,muebles,117.11,1
182,2023-12-09,WhatsApp,Ana,muebles,793.45,1
183,2023-11-04,web,Luis,hogar,74.2,1
184,2023-09-12,WhatsApp,María,hogar,13.28,1
185,2023-10-01,web,María,tecnológico,827.38,1
186,2023-07-01,web,Sofía,muebles,225.14,1
187,2023-08-23,WhatsApp,Ana,tecnológico,409.98,1
188,2023-07-22,web,Carlos,hogar,500.42,1
189,2023-04-04,WhatsApp,María,muebles,,1
190,2023-08-24,web,Juan,muebles,72.53,1
191,2023-01-18,web,Carlos,ropa,145.49,1
192,2023-09-10,web,Luis,deportes,189.03,1
193,2023-10-23,WhatsApp,Carlos,deportes,,1
194,2023-07-05,web,María,tecnológico,121.0,1
195,2023-02-14,web,Sofía,muebles,100.64,1
196,2023-08-06,WhatsApp,Carlos,tecnológico,0.0,0
197,2023-02-02,WhatsApp,Juan,deportes,30.06,1
198,2023-07-09,WhatsApp,Ana,muebles,12.69,1
199,2023-07-21,WhatsApp,Juan,hogar,45.67,1
200,2023-12-27,WhatsApp,,deportes,47.74,1
201,2023-05-15,web,Ana,deportes,,1
202,2023-06-06,web,Juan,ropa,0.0,0
203,2023-02-24,web,Sofía,tecnológico,132.71,1
204,2023-02-22,WhatsApp,Carlos,deportes,0.0,0
205,2023-10-14,WhatsApp,Carlos,ropa,949.39,1
206,2023-11-26,WhatsApp,Carlos,muebles,0.0,0
207,2023-10-25,web,Ana,deportes,80.01,1
208,2023-03-10,web,Juan,hogar,78.89,1
209,2023-02-25,WhatsApp,Luis,deportes,21.26,1
210,2023-10-12,web,Juan,deportes,2311.55,1
211,2023-05-14,WhatsApp,Luis,hogar,0.0,0
212,2023-08-25,WhatsApp,Carlos,ropa,127.12,1
213,2023-11-28,web,Sofía,ropa,0.0,0
214,2023-02-14,WhatsApp,Luis,muebles,96.78,1
215,2023-09-15,WhatsApp,Sofía,tecnológico,0.0,0
216,2023-10-01,web,María,tecnológico,355.3,1
217,2023-07-17,WhatsApp,Luis,ropa,115.49,1
218,2023-10-04,WhatsApp,María,deportes,515.68,1
219,2023-02-06,WhatsApp,Sofía,hogar,,1
220,2023-12-09,WhatsApp,Juan,muebles,1224.08,1
221,2023-03-09,WhatsApp,Carlos,deportes,0.0,0
222,2023-03-15,WhatsApp,María,tecnológico,203.34,1
223,2023-04-06,web,Luis,tecnológico,,1
224,2023-04-21,web,Sofía,deportes,40.44,1
225,2023-05-07,web,Sofía,hogar,0.0,0
226,2023-11-17,web,Ana,ropa,32.73,1
